ICD Code,Indication,Active ingredient
R25.2,Abdominal Spasm,MEBEVERINE HYDROCHLORIDE
R25.2,Abdominal Spasm,MEBEVERINE HYDROCHLORIDE
R25.2,Abdominal Spasm,MEBEVERINE HYDROCHLORIDE
R25.2,Abdominal Spasm,MEBEVERINE HYDROCHLORIDE
R25.2,Abdominal Spasm,MEBEVERINE HYDROCHLORIDE
R25.2,Abdominal Spasm,MEBEVERINE HYDROCHLORIDE
R25.2,Abdominal Spasm,MEBEVERINE HYDROCHLORIDE
R25.2,Abdominal Spasm,MEBEVERINE HYDROCHLORIDE
R25.2,Abdominal Spasm,MEBEVERINE HYDROCHLORIDE
R25.2,Abdominal Spasm,MEBEVERINE HYDROCHLORIDE
R25.2,Abdominal Spasm,PINAVERIUM BROMIDE
R25.2,Abdominal Spasm,HYOSCINE (SCOPOLAMINE) BUTYLBROMIDE
R25.2,Abdominal Spasm,HYOSCINE (SCOPOLAMINE) BUTYLBROMIDE
R25.2,Abdominal Spasm,HYOSCINE (SCOPOLAMINE) BUTYLBROMIDE
R25.2,Abdominal Spasm,HYOSCINE (SCOPOLAMINE) BUTYLBROMIDE
R25.2,Abdominal Spasm,HYOSCINE (SCOPOLAMINE) BUTYLBROMIDE
R25.2,Abdominal Spasm,HYOSCINE (SCOPOLAMINE) BUTYLBROMIDE
R25.2,Abdominal Spasm,HYOSCINE (SCOPOLAMINE) BUTYLBROMIDE
R25.2,Abdominal Spasm,HYOSCINE (SCOPOLAMINE) BUTYLBROMIDE
R25.2,Abdominal Spasm,HYOSCINE (SCOPOLAMINE) BUTYLBROMIDE
R25.2,Abdominal Spasm,HYOSCYAMINE
R25.2,Abdominal Spasm,TRIMEBUTINE
R25.2,Abdominal Spasm,PEPPERMINT OIL
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Valproate Sodium
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Valproate Sodium
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Valproate Sodium
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Valproate Sodium
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Valproate Sodium
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Valproate Sodium
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Valproate Sodium
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Valproate Sodium
G40,Absence Seizures and Idiopathic Generalized Epilepsy,VALPROATE SODIUM
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Lamotrigine 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Lamotrigine 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Lamotrigine 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Lamotrigine 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Lamotrigine 
G40,Absence Seizures and Idiopathic Generalized Epilepsy,Lamotrigine 
